bin_edges,frequency
8.803488633138638,1006
8.846859443045476,909
8.890230252952314,712
8.933601062859152,657
8.97697187276599,576
9.020342682672828,487
9.063713492579666,452
9.107084302486504,391
9.150455112393342,319
9.19382592230018,252
9.237196732207018,292
9.280567542113856,218
9.323938352020694,209
9.367309161927531,196
9.41067997183437,178
9.454050781741207,136
9.497421591648045,90
9.540792401554883,62
9.584163211461721,47
9.62753402136856,44
9.670904831275397,46
9.714275641182235,33
9.757646451089073,28
9.801017260995911,10
9.844388070902749,10
9.887758880809587,3
9.931129690716425,0
9.974500500623261,3
10.017871310530099,0
10.061242120436937,0
10.104612930343775,1
10.147983740250613,2
10.19135455015745,0
10.234725360064289,1
10.278096169971127,0
10.321466979877965,1
10.364837789784803,0
10.40820859969164,0
10.451579409598478,0
10.494950219505316,1
10.538321029412154,0
10.581691839318992,1
10.62506264922583,0
10.668433459132668,2
10.711804269039506,0
10.755175078946344,0
10.798545888853182,0
10.84191669876002,0
10.885287508666858,0
10.928658318573696,2
10.972029128480534,0
11.015399938387372,2
11.05877074829421,0
11.102141558201048,2
11.145512368107886,0
11.188883178014724,0
11.232253987921561,0
11.2756247978284,2
11.318995607735237,1
11.362366417642075,0
11.405737227548913,0
11.449108037455751,0
11.49247884736259,0
11.535849657269427,0
11.579220467176265,0
11.622591277083103,0
11.665962086989941,0
11.709332896896779,0
11.752703706803617,0
11.796074516710455,0
11.839445326617293,0
11.88281613652413,0
11.926186946430969,1
11.969557756337807,0
12.012928566244645,0
12.056299376151483,0
12.09967018605832,0
12.143040995965158,0
12.186411805871996,0
12.229782615778834,0
12.273153425685672,0
12.31652423559251,0
12.359895045499348,1
12.403265855406186,0
12.446636665313024,0
12.490007475219862,0
12.5333782851267,0
12.576749095033538,0
12.620119904940376,0
12.663490714847214,0
12.706861524754052,0
12.75023233466089,0
12.793603144567728,0
12.836973954474566,0
12.880344764381404,0
12.923715574288241,0
12.96708638419508,0
13.010457194101917,0
13.053828004008755,0
13.097198813915593,0
13.140569623822431,0
13.18394043372927,0
13.227311243636107,0
13.270682053542945,0
13.314052863449783,0
13.357423673356621,0
13.400794483263459,0
13.444165293170297,0
13.487536103077135,0
13.530906912983973,0
13.57427772289081,0
13.617648532797649,0
13.661019342704485,1
