YEAR,AIRCRAFT_CONFIG_DESC,LOG_GROUND_TIME,Statistic
2021,Combined Passenger and Freight on a main deck,2.302585092994046,median
2021,Combined Passenger and Freight on a main deck,3.4965075614664802,Q3
2021,Combined Passenger and Freight on a main deck,6.32711203501505,upper_bound
2021,Freight Configuration,0.7931471805599453,lower_bound
2021,Freight Configuration,3.2188758248682006,Q1
2021,Freight Configuration,4.718498871295094,median
2021,Freight Configuration,5.802118375377063,Q3
2021,Freight Configuration,8.675085935057266,upper_bound
2021,Passenger Configuration,0.7931471805599453,lower_bound
2021,Passenger Configuration,3.332204510175204,Q1
2021,Passenger Configuration,4.976733742420574,median
2021,Passenger Configuration,6.498282149476434,Q3
2021,Passenger Configuration,11.235675028284078,upper_bound
2021,Seaplane,0.7931471805599453,lower_bound
2021,Seaplane,1.791759469228055,Q1
2021,Seaplane,2.3978952727983707,median
2021,Seaplane,3.258096538021482,Q3
2021,Seaplane,5.457602141211623,upper_bound
2022,Combined Passenger and Freight on a main deck,0.7931471805599453,lower_bound
2022,Combined Passenger and Freight on a main deck,1.6094379124341003,Q1
2022,Combined Passenger and Freight on a main deck,2.302585092994046,median
2022,Combined Passenger and Freight on a main deck,3.4965075614664802,Q3
2022,Combined Passenger and Freight on a main deck,6.32711203501505,upper_bound
2022,Freight Configuration,0.7931471805599453,lower_bound
2022,Freight Configuration,3.2188758248682006,Q1
2022,Freight Configuration,4.762173934797756,median
2022,Freight Configuration,5.8664680569332965,Q3
2022,Freight Configuration,8.604502289721232,upper_bound
2022,Passenger Configuration,0.7931471805599453,lower_bound
2022,Passenger Configuration,3.4339872044851463,Q1
2022,Passenger Configuration,5.003946305945459,median
2022,Passenger Configuration,6.523562306149512,Q3
2022,Passenger Configuration,10.940887768411498,upper_bound
2022,Seaplane,0.7931471805599453,lower_bound
2022,Seaplane,1.9459101490553132,Q1
2022,Seaplane,2.5649493574615367,median
2022,Seaplane,3.5553480614894135,Q3
2022,Seaplane,5.969504930140564,upper_bound
2023,Combined Passenger and Freight on a main deck,0.7931471805599453,lower_bound
2023,Combined Passenger and Freight on a main deck,1.6094379124341003,Q1
2023,Combined Passenger and Freight on a main deck,2.4849066497880004,median
2023,Combined Passenger and Freight on a main deck,3.713572066704308,Q3
2023,Combined Passenger and Freight on a main deck,6.869773298109619,upper_bound
2023,Freight Configuration,0.7931471805599453,lower_bound
2023,Freight Configuration,3.258096538021482,Q1
2023,Freight Configuration,4.795790545596741,median
2023,Freight Configuration,5.883322388488279,Q3
2023,Freight Configuration,9.821161164188474,upper_bound
2023,Passenger Configuration,0.7931471805599453,lower_bound
2023,Passenger Configuration,3.4965075614664802,Q1
2023,Passenger Configuration,5.1298987149230735,median
2023,Passenger Configuration,6.53813982376767,Q3
2023,Passenger Configuration,11.100588217219455,upper_bound
2023,Seaplane,0.7931471805599453,lower_bound
2023,Seaplane,1.791759469228055,Q1
2023,Seaplane,2.3978952727983707,median
2023,Seaplane,3.4339872044851463,Q3
2023,Seaplane,5.8973288073707835,upper_bound
2024,Combined Passenger and Freight on a main deck,0.7931471805599453,lower_bound
2024,Combined Passenger and Freight on a main deck,1.6094379124341003,Q1
2024,Combined Passenger and Freight on a main deck,2.4849066497880004,median
2024,Combined Passenger and Freight on a main deck,3.713572066704308,Q3
2024,Combined Passenger and Freight on a main deck,5.989044875446846,upper_bound
2024,Freight Configuration,0.7931471805599453,lower_bound
2024,Freight Configuration,3.044522437723423,Q1
2024,Freight Configuration,4.1588830833596715,median
2024,Freight Configuration,5.4638318050256105,Q3
2024,Freight Configuration,8.613417653379184,upper_bound
2024,Passenger Configuration,0.7931471805599453,lower_bound
2024,Passenger Configuration,3.1354942159291497,Q1
2024,Passenger Configuration,4.04305126783455,median
2024,Passenger Configuration,5.10594547390058,Q3
2024,Passenger Configuration,8.061622360857726,upper_bound
2024,Seaplane,0.7931471805599453,lower_bound
2024,Seaplane,1.9459101490553132,Q1
2024,Seaplane,2.772588722239781,median
2024,Seaplane,3.5553480614894135,Q3
2024,Seaplane,5.969504930140564,upper_bound
